date,department,bed_capacity,occupied_beds,available_beds,icu_capacity,icu_occupancy,doctors_allocated,nurses_allocated,equipment_utilization_pct,mri_usage,ct_usage,ventilator_available,daily_admissions,bed_occupancy_rate,icu_utilization_rate,staff_to_patient_ratio,nurse_to_patient_ratio,resource_status,admissions,avg_wait_time,emergency_cases,avg_treatment_duration,readmission_rate,avg_cost,icu_required
2024-01-02,General Medicine,76,62,14,5,0,19,54,87.5,3,16,5,4,0.8157894736842105,0.0,1.18,0.87,Balanced,4.0,114.775,0.0,1.25,0.25,3971.4125,1.0
2024-01-02,Neurology,36,29,7,5,0,12,20,97.8,8,12,5,2,0.8055555555555556,0.0,1.1,0.69,Balanced,2.0,82.1,0.0,1.0,0.0,4058.5249999999996,0.0
2024-01-02,Pediatrics,42,34,8,6,0,10,33,100.1,2,6,6,1,0.8095238095238095,0.0,1.26,0.97,Balanced,1.0,65.3,0.0,2.0,0.0,4432.94,0.0
2024-01-02,Oncology,40,31,9,3,0,10,36,85.1,7,5,3,1,0.775,0.0,1.48,1.16,Balanced,1.0,78.0,0.0,3.0,0.0,5936.06,0.0
2024-01-02,Surgery,52,42,10,8,2,17,36,89.5,3,11,6,0,0.8076923076923077,0.25,1.26,0.86,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,Maternity,46,30,16,4,0,12,40,70.3,5,2,4,0,0.6521739130434783,0.0,1.73,1.33,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,Emergency,58,53,5,8,1,22,53,73.3,12,27,7,3,0.9137931034482759,0.125,1.42,1.0,Over-utilized,3.0,137.66666666666666,1.0,2.3333333333333335,0.0,4586.45,0.0
2024-01-03,ICU,34,34,0,34,33,16,67,100.2,4,12,0,2,1.0,0.9705882352941176,2.44,1.97,Over-utilized,2.0,70.94999999999999,0.0,6.5,0.0,14056.165,2.0
2024-01-03,Cardiology,48,41,7,10,2,16,35,97.9,7,18,8,3,0.8541666666666666,0.2,1.24,0.85,Over-utilized,3.0,106.76666666666667,0.0,6.666666666666667,0.0,9551.313333333334,0.0
2024-01-03,Orthopedics,44,23,21,2,2,12,39,66.9,1,2,0,0,0.5227272727272727,1.0,2.22,1.7,Under-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,General Medicine,76,64,12,5,2,18,60,85.9,7,23,3,4,0.8421052631578947,0.4,1.22,0.94,Balanced,4.0,117.5,1.0,8.0,0.0,10309.2425,0.0
2024-01-03,Neurology,36,27,9,5,0,11,25,83.4,5,18,5,0,0.75,0.0,1.33,0.93,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,Pediatrics,42,31,11,6,0,13,37,72.3,5,8,6,4,0.7380952380952381,0.0,1.61,1.19,Balanced,4.0,104.35,1.0,3.25,0.0,5643.1325,1.0
2024-01-03,Oncology,40,32,8,3,0,11,42,88.0,8,6,3,0,0.8,0.0,1.66,1.31,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,Surgery,52,49,3,8,2,17,41,82.3,5,12,6,4,0.9423076923076923,0.25,1.18,0.84,Over-utilized,4.0,96.9,0.0,9.25,0.25,9720.3525,1.0
2024-01-03,Maternity,46,30,16,4,1,12,35,82.3,1,9,3,4,0.6521739130434783,0.25,1.57,1.17,Balanced,4.0,71.1,0.0,4.25,0.0,6781.2325,0.0
2024-01-04,Emergency,58,58,0,8,2,20,56,84.0,9,31,6,2,1.0,0.25,1.31,0.97,Over-utilized,2.0,106.9,1.0,3.5,0.5,6742.715,0.0
2024-01-04,ICU,34,30,4,34,31,16,66,89.9,4,11,0,0,0.8823529411764706,0.9117647058823529,2.73,2.2,Over-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,Cardiology,48,33,15,10,4,17,40,80.1,2,9,6,1,0.6875,0.4,1.73,1.21,Balanced,1.0,96.0,0.0,7.0,0.0,9050.27,0.0
2024-01-04,Orthopedics,44,30,14,2,2,12,24,91.6,11,12,0,0,0.6818181818181818,1.0,1.2,0.8,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,General Medicine,76,67,9,5,0,19,52,88.0,3,9,5,2,0.881578947368421,0.0,1.06,0.78,Over-utilized,2.0,104.85,0.0,1.0,0.0,3730.4300000000003,1.0
2024-01-04,Neurology,36,30,6,5,0,11,34,92.8,11,15,5,2,0.8333333333333334,0.0,1.5,1.13,Balanced,2.0,125.5,1.0,10.5,0.0,14107.585,0.0
2024-01-04,Pediatrics,42,31,11,6,1,13,29,94.4,3,8,5,2,0.7380952380952381,0.16666666666666666,1.35,0.94,Balanced,2.0,64.55,1.0,1.5,0.0,3902.96,0.0
2024-01-04,Oncology,40,27,13,3,2,10,24,79.0,2,2,1,1,0.675,0.6666666666666666,1.26,0.89,Balanced,1.0,68.7,1.0,5.0,0.0,7799.68,0.0
2024-01-04,Surgery,52,45,7,8,4,21,39,72.7,2,16,4,0,0.8653846153846154,0.5,1.33,0.87,Over-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,Maternity,46,33,13,4,0,15,29,84.9,1,5,4,3,0.717391304347826,0.0,1.33,0.88,Balanced,3.0,60.666666666666664,0.0,1.3333333333333333,0.3333333333333333,4032.9133333333334,0.0
2024-01-05,Emergency,58,58,0,8,2,24,44,93.4,12,36,6,5,1.0,0.25,1.17,0.76,Over-utilized,5.0,146.76,4.0,3.6,0.0,6397.236,1.0
2024-01-05,ICU,34,34,0,34,33,21,62,106.1,2,8,0,5,1.0,0.9705882352941176,2.44,1.82,Over-utilized,5.0,58.48,1.0,6.0,0.0,13608.812,5.0
2024-01-05,Cardiology,48,38,10,10,4,14,36,97.0,1,8,6,2,0.7916666666666666,0.4,1.32,0.95,Balanced,2.0,74.35,0.0,3.0,0.0,5258.195,0.0
2024-01-05,Orthopedics,44,30,14,2,1,12,30,83.4,8,4,1,2,0.6818181818181818,0.5,1.4,1.0,Balanced,2.0,174.6,0.0,4.0,0.0,7751.94,1.0
2024-01-05,General Medicine,76,64,12,5,2,17,56,73.5,5,13,3,2,0.8421052631578947,0.4,1.14,0.88,Balanced,2.0,160.85000000000002,0.0,10.0,0.0,14130.645,0.0
2024-01-05,Neurology,36,25,11,5,2,13,24,71.6,6,9,3,1,0.6944444444444444,0.4,1.48,0.96,Balanced,1.0,104.7,0.0,4.0,1.0,6192.03,1.0
2024-01-05,Pediatrics,42,34,8,6,1,15,29,98.9,0,12,5,4,0.8095238095238095,0.16666666666666666,1.29,0.85,Balanced,4.0,68.4,2.0,2.0,0.25,4435.79,1.0
2024-01-05,Oncology,40,30,10,3,0,12,25,80.0,5,2,3,3,0.75,0.0,1.23,0.83,Balanced,3.0,73.89999999999999,1.0,6.333333333333333,0.0,8656.066666666668,1.0
2024-01-05,Surgery,52,41,11,8,4,19,44,86.6,3,13,4,2,0.7884615384615384,0.5,1.54,1.07,Balanced,2.0,81.6,0.0,2.5,0.0,5082.389999999999,0.0
2024-01-05,Maternity,46,30,16,4,0,14,36,65.6,1,4,4,0,0.6521739130434783,0.0,1.67,1.2,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06,Emergency,58,58,0,8,1,23,59,104.0,11,31,7,4,1.0,0.125,1.41,1.02,Over-utilized,4.0,159.175,3.0,1.75,0.0,4974.945,0.0
2024-01-06,ICU,34,34,0,34,30,19,63,93.0,5,17,1,1,1.0,0.8823529411764706,2.41,1.85,Over-utilized,1.0,81.2,1.0,12.0,0.0,21744.73,1.0
2024-01-06,Cardiology,48,35,13,10,3,14,45,82.5,4,3,7,1,0.7291666666666666,0.3,1.69,1.29,Balanced,1.0,80.6,0.0,1.0,0.0,3405.45,1.0
2024-01-06,Orthopedics,44,34,10,2,0,12,31,95.9,8,7,2,1,0.7727272727272727,0.0,1.26,0.91,Balanced,1.0,96.9,0.0,1.0,0.0,3282.46,0.0
2024-01-06,General Medicine,76,70,6,5,0,19,55,90.2,6,16,5,1,0.9210526315789473,0.0,1.06,0.79,Over-utilized,1.0,94.45,0.0,3.0,0.0,6052.0,0.0
2024-01-06,Neurology,36,29,7,5,0,14,31,80.0,10,9,5,0,0.8055555555555556,0.0,1.55,1.07,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06,Pediatrics,42,32,10,6,1,15,32,84.0,3,11,5,1,0.7619047619047619,0.16666666666666666,1.47,1.0,Balanced,1.0,66.0,0.0,5.0,0.0,7015.03,0.0
2024-01-06,Oncology,40,32,8,3,1,7,35,72.6,4,7,2,0,0.8,0.3333333333333333,1.31,1.09,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06,Surgery,52,43,9,8,1,17,46,81.6,6,17,7,1,0.8269230769230769,0.125,1.47,1.07,Balanced,1.0,93.0,0.0,6.0,0.0,9764.21,0.0
2024-01-06,Maternity,46,26,20,4,0,14,37,80.9,0,3,4,0,0.5652173913043478,0.0,1.96,1.42,Under-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,Emergency,58,56,2,8,4,21,52,84.3,13,33,4,3,0.9655172413793104,0.5,1.3,0.93,Over-utilized,3.0,162.83333333333334,2.0,1.3333333333333333,0.0,3922.1066666666666,0.0
2024-01-07,ICU,34,34,0,34,31,15,61,94.3,3,11,0,2,1.0,0.9117647058823529,2.24,1.79,Over-utilized,2.0,97.6,1.0,5.5,0.0,12732.55,2.0
2024-01-07,Cardiology,48,37,11,10,3,13,40,68.7,4,17,7,1,0.7708333333333334,0.3,1.43,1.08,Balanced,1.0,77.3,0.0,6.0,0.0,8845.95,0.0
2024-01-07,Orthopedics,44,27,17,2,3,15,29,68.5,7,10,0,0,0.6136363636363636,1.4,1.63,1.07,Under-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,General Medicine,76,69,7,5,2,19,56,98.3,6,18,3,2,0.9078947368421053,0.4,1.09,0.81,Over-utilized,2.0,102.15,0.0,4.5,0.5,6635.405000000001,0.0
2024-01-07,Neurology,36,29,7,5,0,13,34,85.5,12,9,5,0,0.8055555555555556,0.0,1.62,1.17,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,Pediatrics,42,28,14,6,0,15,30,76.1,1,7,6,0,0.6666666666666666,0.0,1.61,1.07,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,Oncology,40,26,14,3,2,10,25,81.1,5,9,1,1,0.65,0.6666666666666666,1.35,0.96,Under-utilized,1.0,43.3,0.0,3.0,0.0,5392.17,0.0
2024-01-07,Surgery,52,43,9,8,3,19,45,76.0,6,10,5,2,0.8269230769230769,0.375,1.49,1.05,Balanced,2.0,83.30000000000001,0.0,5.0,1.0,6766.07,0.0
2024-01-07,Maternity,46,29,17,4,1,15,36,67.6,0,2,3,0,0.6304347826086957,0.25,1.76,1.24,Under-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,Emergency,58,54,4,8,3,20,55,93.1,11,25,5,2,0.9310344827586207,0.375,1.39,1.02,Over-utilized,2.0,89.15,2.0,3.0,0.0,5516.525,0.0
2024-01-08,ICU,34,31,3,34,32,20,67,82.3,2,10,0,2,0.9117647058823529,0.9411764705882353,2.81,2.16,Over-utilized,2.0,74.1,1.0,9.5,0.5,17167.989999999998,1.0
2024-01-08,Cardiology,48,37,11,10,5,18,35,69.7,1,8,5,2,0.7708333333333334,0.5,1.43,0.95,Balanced,2.0,99.5,0.0,2.5,0.0,5953.455,0.0
2024-01-08,Orthopedics,44,28,16,2,0,14,27,83.6,2,10,2,2,0.6363636363636364,0.0,1.46,0.96,Under-utilized,2.0,127.7,1.0,3.0,0.0,5385.395,1.0
2024-01-08,General Medicine,76,62,14,5,0,20,52,93.1,2,11,5,4,0.8157894736842105,0.0,1.16,0.84,Balanced,4.0,107.475,2.0,4.25,0.0,6990.945000000001,0.0
2024-01-08,Neurology,36,29,7,5,0,15,20,87.4,9,7,5,1,0.8055555555555556,0.0,1.21,0.69,Balanced,1.0,72.8,1.0,1.0,0.0,3852.42,0.0
2024-01-08,Pediatrics,42,29,13,6,2,13,38,70.9,3,10,4,1,0.6904761904761905,0.3333333333333333,1.76,1.31,Balanced,1.0,55.5,0.0,1.0,0.0,3426.02,0.0
2024-01-08,Oncology,40,31,9,3,2,12,28,82.8,1,8,1,2,0.775,0.6666666666666666,1.29,0.9,Balanced,2.0,60.05,1.0,2.0,0.0,4027.5649999999996,0.0
2024-01-08,Surgery,52,44,8,8,3,18,36,101.0,3,6,5,3,0.8461538461538461,0.375,1.23,0.82,Balanced,3.0,112.16666666666667,0.0,4.0,0.0,6384.81,0.0
2024-01-08,Maternity,46,32,14,4,0,15,43,69.9,0,5,4,2,0.6956521739130435,0.0,1.81,1.34,Balanced,2.0,66.15,1.0,2.0,0.0,4353.995,1.0
2024-01-09,Emergency,58,51,7,8,4,25,51,79.5,8,28,4,2,0.8793103448275862,0.5,1.49,1.0,Over-utilized,2.0,132.3,0.0,2.0,0.0,5072.13,0.0
2024-01-09,ICU,34,34,0,34,32,21,63,84.0,3,14,0,1,1.0,0.9411764705882353,2.47,1.85,Over-utilized,1.0,88.2,0.0,10.0,0.0,16419.01,1.0
2024-01-09,Cardiology,48,37,11,10,1,14,35,89.5,6,9,9,2,0.7708333333333334,0.1,1.32,0.95,Balanced,2.0,79.6,0.0,4.0,0.0,7212.79,0.0
2024-01-09,Orthopedics,44,29,15,2,0,12,34,86.4,10,10,2,3,0.6590909090909091,0.0,1.59,1.17,Balanced,3.0,153.93333333333334,1.0,3.0,0.0,5376.38,0.0
2024-01-09,General Medicine,76,63,13,5,0,18,47,95.3,3,13,5,2,0.8289473684210527,0.0,1.03,0.75,Balanced,2.0,86.80000000000001,1.0,3.0,0.0,5245.0599999999995,0.0
2024-01-09,Neurology,36,30,6,5,0,9,28,91.8,9,5,5,2,0.8333333333333334,0.0,1.23,0.93,Balanced,2.0,103.7,0.0,2.5,0.0,4952.08,0.0
2024-01-09,Pediatrics,42,29,13,6,0,10,29,99.8,5,11,6,2,0.6904761904761905,0.0,1.34,1.0,Balanced,2.0,66.25,0.0,3.0,0.0,5761.825,0.0
2024-01-09,Oncology,40,28,12,3,1,13,25,86.2,4,7,2,0,0.7,0.3333333333333333,1.36,0.89,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,Surgery,52,43,9,8,3,25,36,96.5,7,17,5,4,0.8269230769230769,0.375,1.42,0.84,Balanced,4.0,123.5,1.0,4.75,0.0,8073.29,0.0
2024-01-09,Maternity,46,30,16,4,2,13,33,81.1,0,8,2,0,0.6521739130434783,0.5,1.53,1.1,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,Emergency,58,56,2,8,2,21,55,108.1,13,36,6,2,0.9655172413793104,0.25,1.36,0.98,Over-utilized,2.0,172.6,1.0,8.0,0.0,11053.265,0.0
2024-01-10,ICU,34,31,3,34,32,18,68,90.1,2,9,0,0,0.9117647058823529,0.9411764705882353,2.77,2.19,Over-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,Cardiology,48,40,8,10,3,13,30,87.5,4,16,7,4,0.8333333333333334,0.3,1.08,0.75,Balanced,4.0,111.925,0.0,4.25,0.0,6906.725,1.0
2024-01-10,Orthopedics,44,34,10,2,1,10,30,109.2,7,11,1,2,0.7727272727272727,0.5,1.18,0.88,Balanced,2.0,93.6,0.0,2.5,0.0,5227.120000000001,0.0
2024-01-10,General Medicine,76,60,16,5,2,17,54,77.7,3,13,3,0,0.7894736842105263,0.4,1.18,0.9,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,Neurology,36,33,3,5,0,10,36,96.7,9,9,5,2,0.9166666666666666,0.0,1.39,1.09,Over-utilized,2.0,146.75,0.0,3.5,0.0,5843.975,1.0
2024-01-10,Pediatrics,42,30,12,6,1,12,37,93.8,4,0,5,2,0.7142857142857143,0.16666666666666666,1.63,1.23,Balanced,2.0,125.94999999999999,0.0,5.5,0.5,8418.57,1.0
2024-01-10,Oncology,40,31,9,3,0,14,33,89.7,6,10,3,1,0.775,0.0,1.52,1.06,Balanced,1.0,63.2,1.0,5.0,1.0,7434.65,0.0
2024-01-10,Surgery,52,47,5,8,3,17,44,84.2,2,15,5,2,0.9038461538461539,0.375,1.3,0.94,Over-utilized,2.0,81.3,0.0,4.5,0.5,7413.03,0.0
2024-01-10,Maternity,46,28,18,4,0,13,38,62.5,0,5,4,1,0.6086956521739131,0.0,1.82,1.36,Under-utilized,1.0,51.6,0.0,3.0,0.0,5492.78,0.0
2024-01-11,Emergency,58,58,0,8,3,22,49,90.2,11,26,5,5,1.0,0.375,1.22,0.84,Over-utilized,5.0,113.2,4.0,2.2,0.2,5557.9400000000005,0.0
2024-01-11,ICU,34,34,0,34,30,14,62,95.9,2,10,1,0,1.0,0.8823529411764706,2.24,1.82,Over-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,Cardiology,48,37,11,10,3,15,37,84.0,7,11,7,1,0.7708333333333334,0.3,1.41,1.0,Balanced,1.0,86.5,0.0,6.0,0.0,9850.83,0.0
2024-01-11,Orthopedics,44,30,14,2,0,10,37,87.1,6,13,2,1,0.6818181818181818,0.0,1.57,1.23,Balanced,1.0,92.8,0.0,2.0,0.0,4159.4,0.0
2024-01-11,General Medicine,76,65,11,5,2,19,51,82.8,5,11,3,0,0.8552631578947368,0.4,1.08,0.78,Over-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,Neurology,36,36,0,5,0,10,30,90.5,13,13,5,2,1.0,0.0,1.11,0.83,Over-utilized,2.0,96.95,0.0,1.0,0.0,4275.974999999999,0.0
2024-01-11,Pediatrics,42,32,10,6,0,12,35,79.4,6,6,6,1,0.7619047619047619,0.0,1.47,1.09,Balanced,1.0,62.5,0.0,1.0,0.0,3588.75,0.0
2024-01-11,Oncology,40,33,7,3,0,9,26,77.4,4,2,3,3,0.825,0.0,1.06,0.79,Balanced,3.0,74.8,0.0,6.333333333333333,0.0,9545.926666666666,0.0
2024-01-11,Surgery,52,41,11,8,1,18,44,78.5,5,15,7,3,0.7884615384615384,0.125,1.51,1.07,Balanced,3.0,111.53333333333335,0.0,5.0,0.0,7180.573333333334,0.0
2024-01-11,Maternity,46,28,18,4,1,15,36,71.2,0,0,3,1,0.6086956521739131,0.25,1.82,1.29,Under-utilized,1.0,78.8,0.0,3.0,0.0,5768.68,1.0
2024-01-12,Emergency,58,58,0,8,1,22,48,103.7,8,27,7,2,1.0,0.125,1.21,0.83,Over-utilized,2.0,98.85,2.0,1.0,0.0,3386.3,0.0
2024-01-12,ICU,34,34,0,34,31,19,64,88.2,4,14,0,2,1.0,0.9117647058823529,2.44,1.88,Over-utilized,2.0,61.8,0.0,6.0,0.0,13787.41,2.0
2024-01-12,Cardiology,48,37,11,10,2,17,35,100.8,4,13,8,3,0.7708333333333334,0.2,1.41,0.95,Balanced,3.0,72.73333333333333,1.0,3.3333333333333335,0.0,6301.59,0.0
2024-01-12,Orthopedics,44,36,8,2,3,11,33,101.0,7,12,0,4,0.8181818181818182,1.4,1.22,0.92,Balanced,4.0,158.1,1.0,4.75,0.0,5931.0175,2.0
2024-01-12,General Medicine,76,58,18,5,0,19,45,97.7,1,11,5,1,0.7631578947368421,0.0,1.1,0.78,Balanced,1.0,101.9,0.0,2.0,0.0,4964.78,0.0
2024-01-12,Neurology,36,28,8,5,1,12,30,76.6,10,9,4,0,0.7777777777777778,0.2,1.5,1.07,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,Pediatrics,42,33,9,6,0,14,30,93.1,6,7,6,1,0.7857142857142857,0.0,1.33,0.91,Balanced,1.0,118.5,0.0,1.0,0.0,3334.33,0.0
2024-01-12,Oncology,40,28,12,3,0,9,28,82.7,5,13,3,1,0.7,0.0,1.32,1.0,Balanced,1.0,97.7,0.0,7.0,0.0,9872.76,0.0
2024-01-12,Surgery,52,41,11,8,1,17,39,71.9,6,8,7,2,0.7884615384615384,0.125,1.37,0.95,Balanced,2.0,118.4,0.0,6.0,0.0,9080.63,0.0
2024-01-12,Maternity,46,28,18,4,0,14,34,71.2,0,4,4,1,0.6086956521739131,0.0,1.71,1.21,Under-utilized,1.0,49.4,0.0,1.0,0.0,2928.58,0.0
2024-01-13,Emergency,58,58,0,8,2,20,53,93.2,12,35,6,4,1.0,0.25,1.26,0.91,Over-utilized,4.0,169.225,3.0,2.5,0.25,5824.297500000001,0.0
2024-01-13,ICU,34,34,0,34,32,14,63,96.2,2,11,0,1,1.0,0.9411764705882353,2.26,1.85,Over-utilized,1.0,98.5,1.0,31.0,0.0,39923.97,1.0
2024-01-13,Cardiology,48,41,7,10,3,13,37,83.7,7,11,7,2,0.8541666666666666,0.3,1.22,0.9,Over-utilized,2.0,90.25,0.0,5.0,0.0,8009.26,0.0
2024-01-13,Orthopedics,44,29,15,2,0,13,28,76.3,5,2,2,2,0.6590909090909091,0.0,1.41,0.97,Balanced,2.0,85.15,0.0,1.0,0.0,3983.21,0.0
2024-01-13,General Medicine,76,65,11,5,2,21,51,100.6,6,16,3,2,0.8552631578947368,0.4,1.11,0.78,Over-utilized,2.0,113.0,0.0,3.5,0.5,6269.705,0.0
2024-01-13,Neurology,36,28,8,5,2,12,23,72.0,9,13,3,2,0.7777777777777778,0.4,1.25,0.82,Balanced,2.0,149.14999999999998,1.0,2.0,0.0,4705.969999999999,0.0
2024-01-13,Pediatrics,42,30,12,6,0,8,30,86.3,6,6,6,0,0.7142857142857143,0.0,1.27,1.0,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-13,Oncology,40,32,8,3,0,12,32,77.5,3,5,3,1,0.8,0.0,1.38,1.0,Balanced,1.0,45.1,1.0,8.0,0.0,11312.09,0.0
2024-01-13,Surgery,52,40,12,8,2,21,37,83.9,3,11,6,1,0.7692307692307693,0.25,1.45,0.92,Balanced,1.0,96.8,0.0,7.0,0.0,6770.35,0.0
2024-01-13,Maternity,46,32,14,4,1,15,33,79.8,2,1,3,0,0.6956521739130435,0.25,1.5,1.03,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,Emergency,58,58,0,8,4,16,53,86.0,8,25,4,1,1.0,0.5,1.19,0.91,Over-utilized,1.0,249.8,0.0,2.0,0.0,5280.49,0.0
2024-01-14,ICU,34,34,0,34,30,15,65,89.3,4,16,1,1,1.0,0.8823529411764706,2.35,1.91,Over-utilized,1.0,72.2,0.0,9.0,0.0,15991.14,1.0
2024-01-14,Cardiology,48,36,12,10,2,14,43,76.4,6,9,8,0,0.75,0.2,1.58,1.19,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,Orthopedics,44,28,16,2,1,16,35,100.6,3,0,1,2,0.6363636363636364,0.5,1.82,1.25,Under-utilized,2.0,125.19999999999999,0.0,2.0,0.0,5042.145,0.0
2024-01-14,General Medicine,76,74,2,5,0,20,51,88.0,6,12,5,0,0.9736842105263158,0.0,0.96,0.69,Over-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,Neurology,36,27,9,5,2,12,26,74.2,9,9,3,0,0.75,0.4,1.41,0.96,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,Pediatrics,42,33,9,6,0,14,28,91.7,2,9,6,2,0.7857142857142857,0.0,1.27,0.85,Balanced,2.0,64.80000000000001,1.0,4.5,0.0,7659.875,0.0
2024-01-14,Oncology,40,29,11,3,1,9,31,85.5,7,8,2,0,0.725,0.3333333333333333,1.38,1.07,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,Surgery,52,46,6,8,1,16,40,88.9,6,8,7,2,0.8846153846153846,0.125,1.22,0.87,Over-utilized,2.0,81.05,1.0,4.5,0.0,7221.995000000001,0.0
2024-01-14,Maternity,46,32,14,4,0,14,33,73.6,0,5,4,1,0.6956521739130435,0.0,1.47,1.03,Balanced,1.0,55.4,0.0,5.0,0.0,7393.15,0.0
2024-01-15,Emergency,58,57,1,8,2,23,54,85.4,8,33,6,0,0.9827586206896551,0.25,1.35,0.95,Over-utilized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,ICU,34,34,0,34,30,18,67,83.9,7,15,1,2,1.0,0.8823529411764706,2.5,1.97,Over-utilized,2.0,133.4,0.0,8.5,0.0,17589.345,2.0
2024-01-15,Cardiology,48,42,6,10,2,17,36,91.3,7,12,8,2,0.875,0.2,1.26,0.86,Over-utilized,2.0,108.65,0.0,1.5,0.5,4239.235,0.0
