date,department,bed_capacity,occupied_beds,available_beds,icu_capacity,icu_occupancy,doctors_allocated,nurses_allocated,equipment_utilization_pct,mri_usage,ct_usage,ventilator_available,daily_admissions
2024-01-14,Cardiology,48,36,12,10,2,14,43,76.4,6,9,8,0
2024-01-14,Orthopedics,44,28,16,2,1,16,35,100.6,3,0,1,2
2024-01-14,General Medicine,76,74,2,5,0,20,51,,6,12,5,0
2024-01-14,Neurology,36,27,9,5,2,12,26,74.2,9,9,3,0
2024-01-14,Pediatrics,42,33,9,6,0,14,28,91.7,2,9,6,2
2024-01-14,Oncology,40,29,11,3,1,9,31,85.5,7,8,2,0
2024-01-14,Surgery,52,46,6,8,1,16,40,88.9,6,8,7,2
2024-01-14,Maternity,46,32,14,4,0,14,33,73.6,0,5,4,1
2024-01-15,Emergency,58,57,1,8,2,23,54,85.4,8,33,6,0
2024-01-15,ICU,34,34,0,34,30,18,67,83.9,7,15,1,2
2024-01-15,Cardiology,48,42,6,10,2,17,36,91.3,7,12,8,2
2024-01-15,Orthopedics,44,32,12,2,0,14,26,80.2,4,9,2,0
2024-01-15,General Medicine,76,60,16,5,0,22,51,92.4,2,10,5,5
2024-01-15,Neurology,36,32,4,5,0,13,33,85.8,12,12,5,1
2024-01-15,Pediatrics,42,34,8,6,0,11,30,87.3,6,10,6,2
2024-01-15,Oncology,40,29,11,3,2,8,30,87.1,5,12,1,1
2024-01-15,Surgery,52,46,6,8,0,20,37,83.2,2,14,8,1
2024-01-15,Maternity,46,31,15,4,0,14,39,95.8,2,3,4,1
2024-01-16,Emergency,58,44,14,8,3,23,51,82.3,9,19,5,1
2024-01-16,ICU,34,34,0,34,31,14,61,88.3,3,17,0,2
2024-01-16,Cardiology,48,39,9,10,4,18,39,75.2,1,16,6,3
2024-01-16,Orthopedics,44,34,10,2,0,10,27,76.1,6,4,2,0
2024-01-16,General Medicine,76,67,9,5,0,19,56,86.7,2,13,5,1
2024-01-16,Neurology,36,28,8,5,0,12,30,90.3,13,7,5,0
2024-01-16,Pediatrics,42,31,11,6,1,12,31,79.3,4,10,5,2
2024-01-16,Oncology,40,28,12,3,0,9,30,93.4,3,9,3,2
2024-01-16,Surgery,52,42,10,8,3,17,42,76.2,1,14,5,1
2024-01-16,Maternity,46,28,18,4,1,11,38,80.0,0,11,3,0
2024-01-17,Emergency,58,50,8,8,4,24,64,97.7,12,29,4,3
2024-01-17,ICU,34,34,0,34,31,16,71,107.2,3,10,0,0
2024-01-17,Cardiology,48,39,9,10,2,15,32,82.7,3,10,8,3
2024-01-17,Orthopedics,44,34,10,2,0,12,26,88.8,7,5,2,3
2024-01-17,General Medicine,76,63,13,5,2,16,48,76.9,5,12,3,4
2024-01-17,Neurology,36,28,8,5,1,10,27,87.3,8,13,4,0
2024-01-17,Pediatrics,42,29,13,6,1,14,35,72.1,2,6,5,0
2024-01-17,Oncology,40,31,9,3,0,8,23,80.6,0,10,3,1
2024-01-17,Surgery,52,40,12,8,0,16,45,73.4,1,18,8,1
2024-01-17,Maternity,46,28,18,4,0,14,38,77.2,2,0,4,0
2024-01-18,Emergency,58,58,0,8,4,21,53,78.2,10,32,4,3
2024-01-18,ICU,34,33,1,34,27,15,56,98.9,3,12,4,1
2024-01-18,Cardiology,48,41,7,10,2,17,30,86.3,4,10,8,2
2024-01-18,Orthopedics,44,28,16,2,0,14,32,85.7,7,6,2,1
2024-01-18,General Medicine,76,60,16,5,0,18,50,77.6,3,11,5,0
2024-01-18,Neurology,36,30,6,5,2,12,22,89.6,8,9,3,3
2024-01-18,Pediatrics,42,32,10,6,1,11,33,93.8,2,16,5,2
2024-01-18,Oncology,40,29,11,3,0,10,21,93.5,6,1,3,1
2024-01-18,Surgery,52,39,13,8,2,20,42,82.9,2,5,6,1
2024-01-18,Maternity,46,36,10,4,0,16,26,70.4,2,6,4,1
2024-01-19,Emergency,58,54,4,8,0,23,56,73.6,7,30,8,2
2024-01-19,ICU,34,34,0,34,31,15,68,99.1,1,15,0,1
2024-01-19,Cardiology,48,38,10,10,1,12,43,88.3,3,12,9,1
2024-01-19,Orthopedics,44,25,19,2,1,12,35,78.2,4,12,1,0
2024-01-19,General Medicine,76,68,8,5,1,19,51,70.8,5,21,4,3
2024-01-19,Neurology,36,33,3,5,0,11,31,94.3,12,14,5,0
2024-01-19,Pediatrics,42,32,10,6,1,16,29,88.3,2,9,5,1
2024-01-19,Oncology,40,29,11,3,0,8,32,81.1,6,8,3,1
2024-01-19,Surgery,52,41,11,8,4,18,36,77.4,6,21,4,2
2024-01-19,Maternity,46,33,13,4,1,14,33,94.3,3,6,3,3
2024-01-20,Emergency,58,58,0,8,1,19,53,109.5,8,31,7,5
2024-01-20,ICU,34,34,0,34,32,21,65,103.6,4,10,0,0
2024-01-20,Cardiology,48,33,15,10,2,13,41,72.6,4,12,8,2
2024-01-20,Orthopedics,44,31,13,2,0,10,28,65.4,8,7,2,0
2024-01-20,General Medicine,76,76,0,5,0,21,52,88.5,4,12,5,4
2024-01-20,Neurology,36,29,7,5,0,16,26,79.8,7,9,5,0
2024-01-20,Pediatrics,42,31,11,6,0,11,34,84.9,0,7,6,2
2024-01-20,Oncology,40,34,6,3,0,10,34,101.1,3,10,3,0
2024-01-20,Surgery,52,40,12,8,2,22,42,86.2,8,14,6,2
2024-01-20,Maternity,46,26,20,4,0,13,29,75.0,0,0,4,0
2024-01-21,Emergency,58,58,0,8,2,23,54,102.5,9,25,6,5
2024-01-21,ICU,34,34,0,34,30,19,65,108.8,4,10,1,1
2024-01-21,Cardiology,48,40,8,10,4,15,30,77.3,2,11,6,2
2024-01-21,Orthopedics,44,29,15,2,0,13,34,78.7,6,7,2,1
2024-01-21,General Medicine,76,72,4,5,1,21,47,90.4,5,21,4,2
2024-01-21,Neurology,36,32,4,5,2,13,25,94.0,10,9,3,1
2024-01-21,Pediatrics,42,31,11,6,2,13,38,86.4,6,14,4,2
2024-01-21,Oncology,40,30,10,3,2,13,32,76.4,5,4,1,0
2024-01-21,Surgery,52,42,10,8,2,21,32,63.6,2,12,6,1
2024-01-21,Maternity,46,29,17,4,0,14,35,103.5,2,0,4,1
2024-01-22,Emergency,58,57,1,8,2,24,50,87.4,9,36,6,3
2024-01-22,ICU,34,32,2,34,29,18,66,91.7,3,7,2,3
2024-01-22,Cardiology,48,36,12,10,1,16,44,95.7,0,11,9,0
2024-01-22,Orthopedics,44,29,15,2,0,13,30,72.1,4,12,2,1
2024-01-22,General Medicine,76,58,18,5,2,22,48,87.9,4,12,3,1
2024-01-22,Neurology,36,32,4,5,1,9,30,85.8,10,16,4,0
2024-01-22,Pediatrics,42,26,16,6,0,13,31,71.9,0,7,6,1
2024-01-22,Oncology,40,27,13,3,0,10,30,91.5,2,3,3,0
2024-01-22,Surgery,52,44,8,8,2,19,34,83.2,2,11,6,0
2024-01-22,Maternity,46,28,18,4,0,13,34,70.0,0,11,4,2
2024-01-23,Emergency,58,53,5,8,1,22,53,101.9,8,25,7,0
2024-01-23,ICU,34,33,1,34,30,15,73,81.5,4,4,1,2
2024-01-23,Cardiology,48,39,9,10,2,18,36,93.5,3,18,8,0
2024-01-23,Orthopedics,44,29,15,2,1,12,26,89.3,4,0,1,0
2024-01-23,General Medicine,76,56,20,5,0,16,54,82.2,2,14,5,2
2024-01-23,Neurology,36,35,1,5,0,11,25,84.1,14,11,5,1
2024-01-23,Pediatrics,42,30,12,6,0,15,42,89.2,3,5,6,1
2024-01-23,Oncology,40,36,4,3,0,9,30,91.3,3,12,3,4
2024-01-23,Surgery,52,47,5,8,1,18,40,72.0,1,14,7,1
2024-01-23,Maternity,46,34,12,4,0,12,35,78.1,4,1,4,0
2024-01-24,Emergency,58,54,4,8,2,23,60,94.5,13,32,6,3
2024-01-24,ICU,34,33,1,34,34,15,64,91.9,4,14,0,0
2024-01-24,Cardiology,48,45,3,10,4,18,32,68.9,5,17,6,2
2024-01-24,Orthopedics,44,33,11,2,0,12,24,91.2,10,5,2,1
2024-01-24,General Medicine,76,59,17,5,0,17,55,79.1,2,16,5,0
2024-01-24,Neurology,36,30,6,5,1,10,16,91.6,12,6,4,0
2024-01-24,Pediatrics,42,30,12,6,0,11,30,87.7,3,11,6,1
2024-01-24,Oncology,40,29,11,3,0,7,23,74.5,7,10,3,2
2024-01-24,Surgery,52,45,7,8,0,16,46,78.8,8,14,8,4
2024-01-24,Maternity,46,30,16,4,2,13,35,82.3,0,8,2,1
2024-01-25,Emergency,58,51,7,8,0,21,50,85.4,7,23,8,3
2024-01-25,ICU,34,34,0,34,32,17,61,88.5,6,11,0,4
2024-01-25,Cardiology,48,40,8,10,3,14,40,90.8,10,14,7,2
2024-01-25,Orthopedics,44,35,9,2,0,11,34,97.6,9,5,2,3
2024-01-25,General Medicine,76,64,12,5,1,20,51,100.6,3,14,4,0
2024-01-25,Neurology,36,30,6,5,0,11,28,72.8,10,8,5,2
2024-01-25,Pediatrics,42,32,10,6,2,14,32,95.6,4,17,4,3
2024-01-25,Oncology,40,26,14,3,0,12,30,80.7,3,2,3,1
2024-01-25,Surgery,52,35,17,8,2,18,34,63.8,5,18,6,1
2024-01-25,Maternity,46,29,17,4,1,12,28,81.3,0,7,3,1
2024-01-26,Emergency,58,58,0,8,1,23,50,98.1,6,33,7,3
2024-01-26,ICU,34,34,0,34,29,19,59,97.3,3,7,2,0
2024-01-26,Cardiology,48,37,11,10,5,14,43,74.5,6,12,5,2
2024-01-26,Orthopedics,44,27,17,2,0,12,26,83.5,7,9,2,1
2024-01-26,General Medicine,76,61,15,5,0,21,55,89.6,2,6,5,4
2024-01-26,Neurology,36,31,5,5,0,10,29,80.2,11,9,5,1
2024-01-26,Pediatrics,42,30,12,6,0,15,29,83.6,0,2,6,0
2024-01-26,Oncology,40,31,9,3,0,10,29,85.3,3,9,3,0
2024-01-26,Surgery,52,46,6,8,3,19,41,95.4,4,15,5,6
2024-01-26,Maternity,46,31,15,4,1,14,30,97.7,3,11,3,1
2024-01-27,Emergency,58,58,0,8,2,19,51,93.9,18,33,6,5
2024-01-27,ICU,34,34,0,34,32,17,68,94.7,5,10,0,0
2024-01-27,Cardiology,48,37,11,10,3,14,46,97.7,5,14,7,2
2024-01-27,Orthopedics,44,28,16,2,1,11,37,80.1,6,4,1,0
2024-01-27,General Medicine,76,73,3,5,1,21,48,101.7,2,16,4,2
2024-01-27,Neurology,36,30,6,5,0,14,29,92.7,9,16,5,1
2024-01-27,Pediatrics,42,33,9,6,0,10,34,97.7,1,9,6,1
2024-01-27,Oncology,40,33,7,3,0,7,27,68.5,7,0,3,3
2024-01-27,Surgery,52,37,15,8,2,17,38,92.6,7,12,6,2
2024-01-27,Maternity,46,35,11,4,1,10,30,83.9,2,11,3,1
2024-01-28,Emergency,58,58,0,8,0,22,59,85.3,11,40,8,1
2024-01-28,ICU,34,31,3,34,29,21,56,99.4,2,13,2,0
2024-01-28,Cardiology,48,41,7,10,2,14,40,77.2,6,9,8,1
2024-01-28,Orthopedics,44,32,12,2,1,11,31,74.6,6,13,1,0
2024-01-28,General Medicine,76,74,2,5,0,18,48,98.2,7,17,5,6
2024-01-28,Neurology,36,30,6,5,1,10,26,93.3,13,11,4,0
2024-01-28,Pediatrics,42,25,17,6,0,13,36,87.8,0,12,6,0
2024-01-28,Oncology,40,28,12,3,1,12,30,79.0,5,4,2,1
2024-01-28,Surgery,52,38,14,8,3,15,37,86.7,6,11,5,3
2024-01-28,Maternity,46,30,16,4,0,13,31,62.9,0,8,4,0
2024-01-29,Emergency,58,52,6,8,2,22,57,88.2,8,22,6,3
2024-01-29,ICU,34,31,3,34,33,12,69,97.3,0,12,0,0
2024-01-29,Cardiology,48,32,16,10,3,12,47,83.1,2,12,7,0
2024-01-29,Orthopedics,44,32,12,2,0,9,30,88.7,10,3,2,0
2024-01-29,General Medicine,76,58,18,5,1,17,51,76.0,5,6,4,1
2024-01-29,Neurology,36,31,5,5,0,12,22,86.7,11,12,5,3
2024-01-29,Pediatrics,42,40,2,6,0,16,35,87.8,8,10,6,2
2024-01-29,Oncology,40,29,11,3,2,12,28,81.1,5,5,1,0
2024-01-29,Surgery,52,42,10,8,0,15,48,99.3,3,10,8,2
2024-01-29,Maternity,46,25,21,4,0,14,41,83.6,2,7,4,0
2024-01-30,Emergency,58,54,4,8,4,22,57,88.4,5,36,4,2
2024-01-30,ICU,34,34,0,34,31,19,56,90.5,3,17,0,5
2024-01-30,Cardiology,48,39,9,10,2,12,37,88.7,4,10,8,3
2024-01-30,Orthopedics,44,33,11,2,0,13,30,94.5,7,12,2,2
2024-01-30,General Medicine,76,61,15,5,2,21,56,92.8,2,14,3,1
2024-01-30,Neurology,36,30,6,5,0,16,27,88.8,6,11,5,2
2024-01-30,Pediatrics,42,27,15,6,1,14,34,81.7,2,3,5,0
2024-01-30,Oncology,40,27,13,3,1,12,26,81.7,3,0,2,1
2024-01-30,Surgery,52,39,13,8,5,17,45,76.8,2,17,3,2
2024-01-30,Maternity,46,33,13,4,0,14,37,88.8,3,13,4,2
2024-01-31,Emergency,58,57,1,8,1,19,56,84.2,14,30,7,3
2024-01-31,ICU,34,34,0,34,33,19,63,87.6,5,19,0,1
2024-01-31,Cardiology,48,37,11,10,4,10,41,86.6,7,9,6,2
2024-01-31,Orthopedics,44,31,13,2,0,12,25,76.5,6,11,2,1
2024-01-31,General Medicine,76,67,9,5,1,24,56,87.7,5,13,4,1
2024-01-31,Neurology,36,26,10,5,0,9,26,95.5,8,9,5,1
2024-01-31,Pediatrics,42,27,15,6,0,10,33,94.7,4,8,6,0
2024-01-31,Oncology,40,30,10,3,0,11,31,89.0,3,0,3,1
2024-01-31,Surgery,52,39,13,8,2,20,43,90.9,2,7,6,1
2024-01-31,Maternity,46,27,19,4,0,12,30,64.6,4,3,4,0
2024-02-01,Emergency,58,58,0,8,1,21,54,92.2,10,33,7,3
2024-02-01,ICU,34,34,0,34,29,19,68,93.7,5,8,2,3
2024-02-01,Cardiology,48,40,8,10,2,17,39,90.7,2,8,8,3
2024-02-01,Orthopedics,44,32,12,2,1,14,29,89.0,9,10,1,2
2024-02-01,General Medicine,76,68,8,5,1,17,51,89.6,4,13,4,4
2024-02-01,Neurology,36,31,5,5,1,10,28,75.6,10,15,4,5
2024-02-01,Pediatrics,42,30,12,6,0,12,36,62.6,2,3,6,2
2024-02-01,Oncology,40,30,10,3,1,10,33,89.8,4,6,2,0
2024-02-01,Surgery,52,35,17,8,1,19,44,81.2,3,13,7,2
2024-02-01,Maternity,46,29,17,4,2,11,36,65.5,3,0,2,2
2024-02-02,Emergency,58,52,6,8,1,20,56,92.2,12,30,7,0
2024-02-02,ICU,34,34,0,34,32,17,65,96.1,4,8,0,1
2024-02-02,Cardiology,48,38,10,10,0,17,36,96.9,4,9,10,2
2024-02-02,Orthopedics,44,28,16,2,0,8,26,83.9,4,10,2,0
2024-02-02,General Medicine,76,61,15,5,2,21,55,95.5,4,15,3,0
2024-02-02,Neurology,36,32,4,5,0,12,22,93.3,13,9,5,2
2024-02-02,Pediatrics,42,27,15,6,0,13,35,80.7,1,13,6,0
2024-02-02,Oncology,40,33,7,3,1,12,29,82.4,4,2,2,4
2024-02-02,Surgery,52,42,10,8,1,18,45,85.0,2,14,7,1
2024-02-02,Maternity,46,25,21,4,0,11,33,73.5,2,2,4,0
2024-02-03,Emergency,58,58,0,8,2,19,55,98.8,8,36,6,3
2024-02-03,ICU,34,31,3,34,29,16,62,102.5,3,12,2,1
2024-02-03,Cardiology,48,40,8,10,1,17,40,78.3,6,7,9,1
2024-02-03,Orthopedics,44,31,13,2,0,9,27,87.0,6,2,2,2
2024-02-03,General Medicine,76,76,0,5,2,15,55,103.2,5,20,3,5
2024-02-03,Neurology,36,30,6,5,0,13,23,91.4,5,12,5,0
2024-02-03,Pediatrics,42,34,8,6,0,14,27,82.2,2,6,6,1
2024-02-03,Oncology,40,29,11,3,0,11,33,80.2,2,4,3,1
2024-02-03,Surgery,52,37,15,8,2,15,42,82.1,4,11,6,2
2024-02-03,Maternity,46,32,14,4,1,17,35,98.5,2,5,3,0
2024-02-04,Emergency,58,58,0,8,3,22,54,87.4,9,38,5,5
2024-02-04,ICU,34,34,0,34,29,19,63,82.7,0,16,2,4
2024-02-04,Cardiology,48,37,11,10,1,15,36,94.8,6,4,9,2
2024-02-04,Orthopedics,44,26,18,2,2,10,26,77.9,5,0,0,0
2024-02-04,General Medicine,76,64,12,5,3,18,51,88.2,8,13,2,2
2024-02-04,Neurology,36,27,9,5,1,12,21,100.0,10,14,4,0
2024-02-04,Pediatrics,42,31,11,6,3,8,32,67.0,2,7,3,3
2024-02-04,Oncology,40,28,12,3,1,9,35,84.6,0,5,2,0
2024-02-04,Surgery,52,41,11,8,2,19,34,89.1,4,13,6,2
2024-02-04,Maternity,46,29,17,4,0,15,30,85.3,0,0,4,0
2024-02-05,Emergency,58,58,0,8,3,20,58,88.9,10,32,5,2
2024-02-05,ICU,34,34,0,34,30,18,68,86.2,2,15,1,3
2024-02-05,Cardiology,48,38,10,10,2,11,34,83.6,4,6,8,0
2024-02-05,Orthopedics,44,33,11,2,1,14,34,77.4,3,14,1,1
2024-02-05,General Medicine,76,65,11,5,1,20,54,82.4,3,14,4,1
2024-02-05,Neurology,36,29,7,5,0,13,26,86.7,12,8,5,1
2024-02-05,Pediatrics,42,31,11,6,1,12,40,84.1,4,8,5,4
2024-02-05,Oncology,40,28,12,3,2,11,23,84.7,4,5,1,0
